id	title	description	link	image_link	price	brand	availability	condition	item_group_id	color	size	product_type	shipping_weight	sku
AYZIJWP5ODY2MS6W2WRHDVIO-navy-blue-xl	Sequin Kurta | Designer Embellished Kurta for Men | Sydney - Navy Blue / XL	Sequin Kurta An elegant cotton kurta for men, detailed with delicate sequin and bead work — scattered floral sequin motifs sprinkled across the body, with a densely embellished placket, mandarin collar, and classic button closure that catch the light with subtle sparkle. This designer kurta for men brings statement sparkle to festive dressing, a standout choice within our mens indian traditional wear collection. Pairs beautifully with a matching churidar or dhoti for a complete festive dhoti kurta look. Fabric: Rayon Neckline: Mandarin collar Design Detail: Sequin and bead embellishment, scattered floral motifs through the body, densely embellished placket Sleeves: Full sleeve Includes: Kurta only (pairs with our churidar or dhoti — sold separately) Care: Dry clean only Origin: Made in India Occasion: Festive, weddings, celebrations, semi-formal wear	https://www.mantysdesicloset.com/product/sequin-kurta/AYZIJWP5ODY2MS6W2WRHDVIO	https://156130051.cdn6.editmysite.com/uploads/1/5/6/1/156130051/UHU2VWT6CNH2BFRGP5DNNMBF.jpeg	64.99 AUD	Manty's Desi Closet	in_stock	new	AYZIJWP5ODY2MS6W2WRHDVIO	Navy Blue	XL	Men's Kurta > Sequin work	0.6 kg	V241370
BZ77EJVCAKEVH6CWQF7S26GW-beige-m	Thread Work Kurta | Embroidered Kurta for Men | Sydney - Beige / M	Thread Work Kurta A refined cotton kurta for men, elevated with intricate thread embroidery — delicate floral and geometric motifs stitched across the body, with detailed embroidered borders along the placket and cuffs, finished with a classic collar and button closure. This kurta for men brings understated elegance to any festive wardrobe, perfect for those seeking authentic mens indian traditional wear with a refined, everyday-ready finish. Pairs beautifully with a matching churidar or dhoti for a complete festive dhoti kurta look. Fabric: Cotton silk/Cotton Neckline: Mandarin/Classic collar Design Detail: Traditional thread embroidery, floral and geometric motifs through the body, detailed placket and cuff borders Sleeves: Full sleeve Includes: Kurta only (pairs with our churidar or dhoti — sold separately) Care: Dry clean only Origin: Made in India Occasion: Festive, weddings, celebrations, semi-formal wear	https://www.mantysdesicloset.com/product/thread-work-kurta/BZ77EJVCAKEVH6CWQF7S26GW	https://156130051.cdn6.editmysite.com/uploads/1/5/6/1/156130051/DCPXK32ENSQEFTPSEUL6POYQ.jpeg	49.99 AUD	Manty's Desi Closet	in_stock	new	BZ77EJVCAKEVH6CWQF7S26GW	Beige	M	Men's Kurta > Thread work	0.6 kg	6180288
BZ77EJVCAKEVH6CWQF7S26GW-gray-m	Thread Work Kurta | Embroidered Kurta for Men | Sydney - Gray / M	Thread Work Kurta A refined cotton kurta for men, elevated with intricate thread embroidery — delicate floral and geometric motifs stitched across the body, with detailed embroidered borders along the placket and cuffs, finished with a classic collar and button closure. This kurta for men brings understated elegance to any festive wardrobe, perfect for those seeking authentic mens indian traditional wear with a refined, everyday-ready finish. Pairs beautifully with a matching churidar or dhoti for a complete festive dhoti kurta look. Fabric: Cotton silk/Cotton Neckline: Mandarin/Classic collar Design Detail: Traditional thread embroidery, floral and geometric motifs through the body, detailed placket and cuff borders Sleeves: Full sleeve Includes: Kurta only (pairs with our churidar or dhoti — sold separately) Care: Dry clean only Origin: Made in India Occasion: Festive, weddings, celebrations, semi-formal wear	https://www.mantysdesicloset.com/product/thread-work-kurta/BZ77EJVCAKEVH6CWQF7S26GW	https://156130051.cdn6.editmysite.com/uploads/1/5/6/1/156130051/3IIKTUHHFAPXSGTKCBLKMWBE.jpeg	49.99 AUD	Manty's Desi Closet	in_stock	new	BZ77EJVCAKEVH6CWQF7S26GW	Gray	M	Men's Kurta > Thread work	0.6 kg	Z900903
BZ77EJVCAKEVH6CWQF7S26GW-navy-blue-l	Thread Work Kurta | Embroidered Kurta for Men | Sydney - Navy Blue / L	Thread Work Kurta A refined cotton kurta for men, elevated with intricate thread embroidery — delicate floral and geometric motifs stitched across the body, with detailed embroidered borders along the placket and cuffs, finished with a classic collar and button closure. This kurta for men brings understated elegance to any festive wardrobe, perfect for those seeking authentic mens indian traditional wear with a refined, everyday-ready finish. Pairs beautifully with a matching churidar or dhoti for a complete festive dhoti kurta look. Fabric: Cotton silk/Cotton Neckline: Mandarin/Classic collar Design Detail: Traditional thread embroidery, floral and geometric motifs through the body, detailed placket and cuff borders Sleeves: Full sleeve Includes: Kurta only (pairs with our churidar or dhoti — sold separately) Care: Dry clean only Origin: Made in India Occasion: Festive, weddings, celebrations, semi-formal wear	https://www.mantysdesicloset.com/product/thread-work-kurta/BZ77EJVCAKEVH6CWQF7S26GW	https://156130051.cdn6.editmysite.com/uploads/1/5/6/1/156130051/TXIFILVFAKADCO2FUZOB3BF3.jpeg	49.99 AUD	Manty's Desi Closet	in_stock	new	BZ77EJVCAKEVH6CWQF7S26GW	Navy Blue	L	Men's Kurta > Thread work	0.6 kg	654951N
MMXZJ2SQ33JFLRLL6DDIJLLA-black-m	Jacquard Kurta | Designer Kurta for Men | Sydney - Black / M	Jacquard Kurta A refined kurta for men, woven with intricate jacquard patterns — self-textured motifs built directly into the fabric for a rich, subtle shine without being overly ornate. Featuring all-over jacquard weaves through the body, with a mandarin or classic collar and button placket detailing, this kurta dress for men offers a sophisticated take on mens indian traditional wear for those who want texture and shine without heavy embellishment. Pairs beautifully with a matching churidar or dhoti for a complete festive dhoti kurta look. Fabric: Jacquard silk blend Neckline: Mandarin/classic collar Design Detail: Traditional jacquard weave, all-over self-textured pattern Sleeves: Full sleeve Includes: Kurta only (pairs with our churidar or dhoti — sold separately) Care: Dry clean only Origin: Made in India Occasion: Festive, weddings, celebrations, semi-formal wear	https://www.mantysdesicloset.com/product/jacquard-kurta/MMXZJ2SQ33JFLRLL6DDIJLLA	https://156130051.cdn6.editmysite.com/uploads/1/5/6/1/156130051/DMU6ALBUPPHR4TVAHBOS4BOM.jpeg	49.99 AUD	Manty's Desi Closet	in_stock	new	MMXZJ2SQ33JFLRLL6DDIJLLA	Black	M	Men's Kurta > Jacquard	0.6 kg	F621440
MMXZJ2SQ33JFLRLL6DDIJLLA-orange-m	Jacquard Kurta | Designer Kurta for Men | Sydney - Orange / M	Jacquard Kurta A refined kurta for men, woven with intricate jacquard patterns — self-textured motifs built directly into the fabric for a rich, subtle shine without being overly ornate. Featuring all-over jacquard weaves through the body, with a mandarin or classic collar and button placket detailing, this kurta dress for men offers a sophisticated take on mens indian traditional wear for those who want texture and shine without heavy embellishment. Pairs beautifully with a matching churidar or dhoti for a complete festive dhoti kurta look. Fabric: Jacquard silk blend Neckline: Mandarin/classic collar Design Detail: Traditional jacquard weave, all-over self-textured pattern Sleeves: Full sleeve Includes: Kurta only (pairs with our churidar or dhoti — sold separately) Care: Dry clean only Origin: Made in India Occasion: Festive, weddings, celebrations, semi-formal wear	https://www.mantysdesicloset.com/product/jacquard-kurta/MMXZJ2SQ33JFLRLL6DDIJLLA	https://156130051.cdn6.editmysite.com/uploads/1/5/6/1/156130051/JM2PKLOFX56J7THSDPRQW7J3.jpeg	49.99 AUD	Manty's Desi Closet	in_stock	new	MMXZJ2SQ33JFLRLL6DDIJLLA	Orange	M	Men's Kurta > Jacquard	0.6 kg	K904483
MMXZJ2SQ33JFLRLL6DDIJLLA-red-m	Jacquard Kurta | Designer Kurta for Men | Sydney - Red / M	Jacquard Kurta A refined kurta for men, woven with intricate jacquard patterns — self-textured motifs built directly into the fabric for a rich, subtle shine without being overly ornate. Featuring all-over jacquard weaves through the body, with a mandarin or classic collar and button placket detailing, this kurta dress for men offers a sophisticated take on mens indian traditional wear for those who want texture and shine without heavy embellishment. Pairs beautifully with a matching churidar or dhoti for a complete festive dhoti kurta look. Fabric: Jacquard silk blend Neckline: Mandarin/classic collar Design Detail: Traditional jacquard weave, all-over self-textured pattern Sleeves: Full sleeve Includes: Kurta only (pairs with our churidar or dhoti — sold separately) Care: Dry clean only Origin: Made in India Occasion: Festive, weddings, celebrations, semi-formal wear	https://www.mantysdesicloset.com/product/jacquard-kurta/MMXZJ2SQ33JFLRLL6DDIJLLA	https://156130051.cdn6.editmysite.com/uploads/1/5/6/1/156130051/OX4WB7AUV3KXFXXVUIRNQKLH.jpeg	49.99 AUD	Manty's Desi Closet	in_stock	new	MMXZJ2SQ33JFLRLL6DDIJLLA	Red	M	Men's Kurta > Jacquard	0.6 kg	G043868
MMXZJ2SQ33JFLRLL6DDIJLLA-black-l	Jacquard Kurta | Designer Kurta for Men | Sydney - Black / L	Jacquard Kurta A refined kurta for men, woven with intricate jacquard patterns — self-textured motifs built directly into the fabric for a rich, subtle shine without being overly ornate. Featuring all-over jacquard weaves through the body, with a mandarin or classic collar and button placket detailing, this kurta dress for men offers a sophisticated take on mens indian traditional wear for those who want texture and shine without heavy embellishment. Pairs beautifully with a matching churidar or dhoti for a complete festive dhoti kurta look. Fabric: Jacquard silk blend Neckline: Mandarin/classic collar Design Detail: Traditional jacquard weave, all-over self-textured pattern Sleeves: Full sleeve Includes: Kurta only (pairs with our churidar or dhoti — sold separately) Care: Dry clean only Origin: Made in India Occasion: Festive, weddings, celebrations, semi-formal wear	https://www.mantysdesicloset.com/product/jacquard-kurta/MMXZJ2SQ33JFLRLL6DDIJLLA	https://156130051.cdn6.editmysite.com/uploads/1/5/6/1/156130051/HEFS5NTHOTT4VOZC6PUG57AY.jpeg	49.99 AUD	Manty's Desi Closet	in_stock	new	MMXZJ2SQ33JFLRLL6DDIJLLA	Black	L	Men's Kurta > Jacquard	0.6 kg	Y924507
MMXZJ2SQ33JFLRLL6DDIJLLA-golden-l	Jacquard Kurta | Designer Kurta for Men | Sydney - Golden / L	Jacquard Kurta A refined kurta for men, woven with intricate jacquard patterns — self-textured motifs built directly into the fabric for a rich, subtle shine without being overly ornate. Featuring all-over jacquard weaves through the body, with a mandarin or classic collar and button placket detailing, this kurta dress for men offers a sophisticated take on mens indian traditional wear for those who want texture and shine without heavy embellishment. Pairs beautifully with a matching churidar or dhoti for a complete festive dhoti kurta look. Fabric: Jacquard silk blend Neckline: Mandarin/classic collar Design Detail: Traditional jacquard weave, all-over self-textured pattern Sleeves: Full sleeve Includes: Kurta only (pairs with our churidar or dhoti — sold separately) Care: Dry clean only Origin: Made in India Occasion: Festive, weddings, celebrations, semi-formal wear	https://www.mantysdesicloset.com/product/jacquard-kurta/MMXZJ2SQ33JFLRLL6DDIJLLA	https://156130051.cdn6.editmysite.com/uploads/1/5/6/1/156130051/XDDXOOJ5CNHQZGUW6VSTXADW.jpeg	49.99 AUD	Manty's Desi Closet	in_stock	new	MMXZJ2SQ33JFLRLL6DDIJLLA	Golden	L	Men's Kurta > Jacquard	0.6 kg	R550889
MMXZJ2SQ33JFLRLL6DDIJLLA-maroon-l	Jacquard Kurta | Designer Kurta for Men | Sydney - Maroon / L	Jacquard Kurta A refined kurta for men, woven with intricate jacquard patterns — self-textured motifs built directly into the fabric for a rich, subtle shine without being overly ornate. Featuring all-over jacquard weaves through the body, with a mandarin or classic collar and button placket detailing, this kurta dress for men offers a sophisticated take on mens indian traditional wear for those who want texture and shine without heavy embellishment. Pairs beautifully with a matching churidar or dhoti for a complete festive dhoti kurta look. Fabric: Jacquard silk blend Neckline: Mandarin/classic collar Design Detail: Traditional jacquard weave, all-over self-textured pattern Sleeves: Full sleeve Includes: Kurta only (pairs with our churidar or dhoti — sold separately) Care: Dry clean only Origin: Made in India Occasion: Festive, weddings, celebrations, semi-formal wear	https://www.mantysdesicloset.com/product/jacquard-kurta/MMXZJ2SQ33JFLRLL6DDIJLLA	https://156130051.cdn6.editmysite.com/uploads/1/5/6/1/156130051/IRXRCHSIX6BGOIJCU6UFPEBJ.jpeg	49.99 AUD	Manty's Desi Closet	in_stock	new	MMXZJ2SQ33JFLRLL6DDIJLLA	Maroon	L	Men's Kurta > Jacquard	0.6 kg	J612122
